             Heights (in meters) of the sensors at non-NDBC stations

STATION        SITE    ATMP   ANEMOMETER  TIDE  BAROMETER   WTMP    WATER   WATCH
46126          0        NA       NA       NA       NA       NA       NA       NA      
46127          0        3        3        NA       3        0        NA       NA      
46128          0        3        3        NA       3        1.7      103      NA      
46131          0        NA       5        NA       NA       NA       14       NA      
46132          0        NA       5        NA       NA       1        2040     NA      
46134          0        NA       5        NA       NA       NA       160      NA      
46138          NA       NA       NA       NA       NA       NA       230      NA      
46139          0        NA       NA       NA       NA       1        71       NA      
46145          0        NA       5        NA       NA       1        255      NA      
46146          0        NA       5        NA       NA       NA       42       NA      
46147          0        NA       5        NA       NA       1        2000     NA      
46181          0        NA       5        NA       NA       1        23       NA      
46183          0        NA       5        NA       NA       1        65       NA      
46184          0        NA       5        NA       NA       NA       3200     NA      
46185          0        NA       5        NA       NA       1        230      NA      
46204          0        NA       NA       NA       NA       NA       222      NA      
46205          0        NA       5        NA       NA       1        2675     NA      
46206          0        NA       5        NA       NA       NA       72       NA      
46207          0        NA       5        NA       NA       1        2125     NA      
46208          0        NA       5        NA       NA       1        2950     NA      
46211          0        NA       NA       NA       NA       0.46     40       NA      
46212          0        NA       NA       NA       NA       NA       40       NA      
46213          0        NA       NA       NA       NA       0.46     333      NA      
46214          0        NA       NA       NA       NA       0.46     550      NA      
46215          0        NA       NA       NA       NA       0.46     22.86    NA      
46216          0        NA       NA       NA       NA       0.46     182.57   NA      
46217          0        NA       NA       NA       NA       0.46     114      NA      
46218          0        NA       NA       NA       NA       0.46     548.6    NA      
46219          0        NA       NA       NA       NA       0.46     274.3    NA      
46220          0        NA       NA       NA       NA       NA       20       NA      
46221          0        NA       NA       NA       NA       0.46     370      NA      
46222          0        NA       NA       NA       NA       0.46     457      NA      
46223          0        NA       NA       NA       NA       0.46     370      NA      
46224          0        NA       NA       NA       NA       0.46     235.8    NA      
46225          0        NA       NA       NA       NA       0.46     549      NA      
46226          0        NA       NA       NA       NA       NA       180      NA      
46227          0        NA       NA       NA       NA       NA       188      NA      
46228          0        NA       NA       NA       NA       20       NA       NA      
46229          0        NA       NA       NA       NA       0.46     182.9    NA      
